MemTotal:         603520 kB
MemFree:          132708 kB
MemAvailable:     317940 kB
Buffers:             352 kB
Cached:           249316 kB
SwapCached:            0 kB
Active:           196012 kB
Inactive:         145624 kB
Active(anon):      92036 kB
Inactive(anon):     4204 kB
Active(file):     103976 kB
Inactive(file):   141420 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:             12748 kB
Writeback:             0 kB
AnonPages:         91960 kB
Mapped:            23016 kB
Shmem:              4296 kB
Slab:              54124 kB
SReclaimable:      28948 kB
SUnreclaim:        25176 kB
KernelStack:        1600 kB
PageTables:         5276 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      301760 kB
Committed_AS:     315928 kB
VmallocTotal:   34359738367 kB
VmallocUsed:        3140 kB
VmallocChunk:   34359734327 kB
HardwareCorrupted:     0 kB
AnonHugePages:     10240 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       57336 kB
DirectMap2M:      571392 kB
DirectMap1G:           0 kB
